	X6665	X6666	X6667	X6668	X6669	X6670	X6671	X6672	X6673	X6674	X6675	X6676	D22_243	D22_244	D22_245	D22_246
F17C11.7	0	0	0	920.713491528598	796.855430489979	560.85994173752	0	9386.76293956351	3.66753265068497	991.52039422649	654.273935441162	899.169014658414	3887.67531488303	0	0	0
F17C8.11	0	0	0	1.16496856794002	1.22329663876263	1.10841885718877	0	0	0	1.28103410106782	1.27414593075202	0	301.972376471533	0	0	0
F17C8.7	453.285948218839	0	2.0926868894642	1047.69506543406	729.574115358035	940.493400324675	0	3.08978371940866	5.50129897602745	288.232672740259	802.074863408396	515.562812005452	0	0	0	216.719009355448
F17E9.4	3.87423887366529	3.22550720801182	4223.04214293875	13.9796228152803	2712.29330746451	5262.21852450371	9.64074314034806	12.3591348776346	6447.52239990417	2.98907956915824	77.7229017758732	48.0734115856653	0	0	0	0
F17E9.5	4895.1008168761	11021.5581297764	2827.21998766613	7262.4140525381	11775.4534447291	13600.2993777063	4612.40696814652	4956.01308593149	17272.2450184008	1196.91286176436	4978.08815144814	3539.77283675675	9386.84344733851	3951.43151091243	2718.57057030991	247.678867834798
F17H10.1	185.963465935934	0	263.678548072489	1722.60018912731	566.141684419347	828.543095748609	0	0	0	3123.16113840334	1574.8443704095	2230.50818857164	0	0	3633.6269937172	0
F17H10.2	0	0	27.2049295630345	200.762916541664	221.416691616037	338.621960871171	0	0	0	785.700915321594	161.17946024013	400.284733203091	0	0	0	0
F18A1.1	406.795081734856	0	0	231.052099308105	124.042279170531	142.986032577352	0	0	1.83376632534248	87.1103188726115	91.7385070141454	154.521680096781	0	0.271314989763281	0	0
F18A1.7	0	0	4170.72497070214	127.369896761443	631.955043584776	341.393008014143	0	0	0	135.789614713189	161.816533205506	166.294760485108	0	0	0	0
F18A11.2	352.555737503542	0	0	809.653154718316	559.535882570029	597.991973453344	0	0	1142.43642068837	425.303321554515	598.211514488073	778.985485694251	103.383192718494	40.6972484644922	4.89171492633363	688.037325499901
F18A11.3	1650.42576018141	0	2.0926868894642	784.023846223636	538.739839711064	545.896287165472	0	528.353016018881	4736.61841835963	747.696903656582	719.892450874891	762.797500160302	640.742160520835	0	0.917196548687555	3161.91213481453
F18A11.5	0	0	261.585861183024	88.5376111634418	125.265575809294	99.7576971469897	0	0	0	66.1867618885039	94.2867988756495	85.354832815365	6712.31441085273	0	1539.36154088061	0
F18C12.3	0	428.992458665571	0	215.907507924884	200.131330101567	142.431823148758	0	2060.88574084558	1.83376632534248	245.531536037998	144.615563140354	233.499427701803	0	0	0	2.54963540418174
F18C5.10	0	0	2.0926868894642	1540.08844681671	602.106605598968	987.601201755198	3396.29608344262	3.08978371940866	1.83376632534248	3577.92824428241	1067.09721700482	2157.90752617696	0	0	0	0
