,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
acl-3,343.7083019,0.820646805,2.400397125,0.341943749,0.732393225,0.988447238
acl-4,204.3275598,1.341108084,2.400670656,0.558925534,0.576212542,0.961083394
acl-5,72.78472899,7.070089259,2.449929617,3.074091049,0.00211145,0.011708407
acl-6,47.03046099,-7.394814927,2.45591848,-8.145643478,NA,NA
acl-7,297.106444,-9.511939308,2.452446735,-8.982317748,2.65E-19,1.22E-17
acl-8,75.84487961,-0.47503961,2.401289524,-0.197811431,NA,NA
acl-9,222.515113,-2.219686198,2.40083394,-0.925691033,NA,NA
acly-1,2613.048468,2.737037791,2.400202031,1.142745388,0.253144319,0.635044471
acly-2,1130.48667,3.12193735,2.400367833,1.304132289,NA,NA
acn-1,132.6876446,8.469694703,2.454752643,8.354424963,NA,NA
aco-1,1073.683759,4.291118531,2.110339038,2.036822331,0.04166785,0.163098682
aco-2,343.742684,-2.557727476,2.385861899,-1.073753513,0.28293317,0.680217775
acox-1.1,354.1126861,-1.942865215,2.400510248,-0.810123991,NA,NA
acox-1.2,8.454742534,-1.924784157,2.416186291,-0.798385746,NA,NA
acox-1.4,5.470778383,-4.943473532,2.464690605,-2.079975918,NA,NA
acox-1.5,8.826580161,-4.912335766,2.330038237,-2.196310029,0.02806976,0.115758277
acox-1.6,390.7825646,-9.822964671,2.451827583,-8.991451317,NA,NA
acox-3,165.9080539,8.72660031,2.454338911,8.457616986,NA,NA
acp-2,393.2501808,9.718226961,2.452907783,8.783915586,NA,NA
acp-6,3579.328019,1.099832357,2.231889471,0.492871714,0.622103235,0.9678365
acp-7,105.8088942,-6.525410379,2.425651746,-2.710622263,NA,NA
acr-15,3.032513703,3.397592375,2.462987746,1.447074484,NA,NA
acr-16,577.7554375,-10.24797615,2.450143873,-9.283675889,NA,NA
acr-19,625.4698761,10.25195132,2.452226373,9.071000322,NA,NA
acr-3,30.10847525,6.76580242,2.458209026,7.617199475,NA,NA
acr-8,389.6863815,0.251304312,2.400341678,0.10471591,NA,NA
acs-1,1305.46161,-2.927880501,2.115409899,-1.385164639,0.166002131,0.465517403
acs-10,651.4606148,3.085075315,2.400543115,1.288593728,NA,NA
acs-11,1586.341114,5.534931541,2.399656715,2.327105847,NA,NA
acs-13,1653.836409,-0.038886068,2.400168295,-0.016185361,NA,NA
acs-14,359.3241559,-8.397457494,2.429547716,-3.542542228,NA,NA
acs-18,8.377382382,-4.684376513,2.455777272,-1.99813251,0.045702296,0.175907961
acs-19,2460.716142,0.348636121,2.051430819,0.169963385,0.865038932,0.992224619
acs-21,261.728195,1.776468483,2.400633937,0.740599437,NA,NA
acs-3,3466.661023,1.404372778,2.400149265,0.585452778,NA,NA
acs-4,2610.336219,1.75450243,2.400167243,0.731637576,0.464389807,0.889363113
acs-5,1110.774924,-0.61959136,2.400197703,-0.258124044,0.796311176,0.988447238
acs-6,206.4715012,-7.62116112,2.429118274,-3.202252061,NA,NA
acs-7,145.6548551,-8.693123957,2.453601229,-3.648931388,0.000263333,0.001890031
acs-9,27.853467,-6.796076578,2.457313455,-7.886244368,NA,NA
acsd-1,865.7384807,1.275901647,2.189287691,0.582931053,NA,NA
act-1,2828.488781,0.259748043,1.369315496,0.189700192,0.849544071,0.991411913
act-2,4538.604075,-1.048682511,1.54516052,-0.678686529,0.497336503,0.912675563
act-3,1228.251089,1.295746854,1.405019693,0.922235835,0.356405575,0.778595292
act-4,111301.0924,1.178423454,1.364567629,0.863604765,0.387805045,0.813199002
act-5,4324.834999,-0.736529704,1.600192768,-0.460269842,0.645322545,0.974062404
actl-1,184.5732791,8.849047419,2.454148649,8.49041028,NA,NA
acy-1,350.0465845,2.450860767,2.400661805,1.022618279,NA,NA
acy-3,1097.320792,2.56667851,2.400301816,1.071295164,NA,NA
ada-2,204.3231289,-1.62068287,2.400710319,-0.675604976,NA,NA
add-1,215.5303671,-4.251072815,2.402701285,-1.779288816,NA,NA
add-2,1208.074259,0.546890068,2.400191435,0.227913881,0.819713191,0.991411913
ador-1,1054.283336,1.394810665,2.400225539,0.581466082,NA,NA
adr-1,153.2985671,5.510624104,2.409572644,2.303670861,NA,NA
ads-1,822.7240109,-1.435618374,2.365889916,-0.607087637,0.543792754,0.945496171
adsl-1,367.3339725,7.250892708,2.414041098,3.032533023,NA,NA
adss-1,1486.958183,-3.00364511,2.344541393,-1.283742827,0.199231954,0.537953681
adt-2,4.435560489,-3.951920248,2.459475332,-1.685197038,NA,NA
